capture_date,run_id,event,step,segment,seq,status,soft_x_cm,soft_y_cm,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,enc,laser,circle,err,tilt,motor_result,trigger_result,quality,notes
2026-07-25,v12-run8,boot,,,,OK,,,,,,,,,,,,,,,,,,,,,,"marker=Q2-CAL-JOG-v12-ZERO-RECOVER"
2026-07-25,v12-run8,path_done,,,,OK,,,,,,,,,,,,,,,,,,,,GOOD,"PATROL path done, refresh visual center; latest run completed planned path"
2026-07-25,v12-run8,calibration_LT,,,,OK,-17.79,16.10,,,,,,,,,,,,,"[6446,-7705,24585,20106]",,"(-20.00,20.00)","(0.10,-0.10)","(-0.05,-0.07)",OK,OK,GOOD,"PATROL CAL TABLE LT n=1 soft_avg=(-17.79,16.10) err_avg=(0.10,-0.10) tilt_avg=(-0.05,-0.07) enc_avg=[6446,-7705,24585,20106] enc_n=1"
2026-07-25,v12-run8,rt_seen_other,11,,,"VISION_UNCONFIRMED",16.00,17.50,,,,,,,,,,,,,,"(18.80,16.40)","(0.00,0.00)","(18.80,16.40)","(-1.00,-1.00)",OK,OK,SEEN_OTHER,"RT did not show patrol segment timeout; fine skipped repeatedly with seen_other circle=(0.0,0.0); target RT unconfirmed and calibration sample not recorded"
2026-07-25,v12-run8,calibration_RT,,,,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,"PATROL CAL TABLE RT n=0; confirmed mask bit for RT absent"
2026-07-25,v12-run8,calibration_RB,,,,OK,17.70,-16.47,,,,,,,,,,,,,"[7533,-6829,-20256,-24793]",,"(20.00,-20.00)","(0.00,-0.20)","(0.21,-0.27)",OK,OK,GOOD,"PATROL CAL TABLE RB n=1 soft_avg=(17.70,-16.47) err_avg=(0.00,-0.20) tilt_avg=(0.21,-0.27) enc_avg=[7533,-6829,-20256,-24793] enc_n=1"
2026-07-25,v12-run8,lb_m4_encoder_read,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,M4=TIMEOUT,,ENC_PARTIAL,"LB附近一次 PATROL SEG enc m4 read=TIMEOUT; this was an encoder read timeout after motion, not buffered movement failure"
2026-07-25,v12-run8,calibration_LB,,,,OK,-15.42,-13.82,,,,,,,,,,,,,"[-17904,-21157,6022,-4732]",,"(-20.00,-20.00)","(-0.40,-0.60)","(0.08,0.02)",OK,OK,GOOD,"PATROL CAL TABLE LB n=1 soft_avg=(-15.42,-13.82) err_avg=(-0.40,-0.60) tilt_avg=(0.08,0.02) enc_avg=[-17904,-21157,6022,-4732] enc_n=1"
2026-07-25,v12-run8,target_masks,,,,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,"confirmed=0x0D unconfirmed=0x02; LT/RB/LB visually confirmed, RT unconfirmed"
2026-07-25,v12-run8,field_observation_LT,,,,NEEDS_TENSION,,,,,,,,,,,,,,,,,,,,,,,"user observed LT/angle1 all four cables loose and gondola sagging; apply conservative LT entry/fine takeup more and payout less"
2026-07-25,v12-run8,field_observation_RT,,,,NEEDS_SOFTEN,,,,,,,,,,,,,,,,,,,,,,,"user observed RT/angle2 may be tight or look interrupted; serial evidence is seen_other circle=(0,0), not ordinary segment TIMEOUT; conservatively reduce RT entry/fine tension, especially M2"
2026-07-25,v12-run8,field_observation_RB,,,,MIXED_TENSION,,,,,,,,,,,,,,,,,,,,,,,"user observed RB/angle3 M1/M2 slightly tight and M4 loose; return-to-center tension looked suitable, so do not adjust RB-OUT or CENTER-RB"
2026-07-25,v12-run8,field_observation_LB,,,,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,"user observed LB/angle4 cable length suitable and stable; keep neutral profile"
